EXIO3,EXIOBASE product code,ISO3,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AT,0,AUT,20310526.0,19839581.0,21141918.0,21991355.0,18710798.0,20671575.0,21959502.0,23016346.0,22466631.0,22445589.0,21947480.0,21165096.0,22272774.0,22753650.0,23059813.0,23513250.0,22710905.0,23948736.0,23902352.0,25131399.0,23990663.0,27417025.0,25640501.0,26367195.0,25296752.0,25761603.0,25256029.0,26945025.0,25656194.0,26171399.0,25887062.0,25076157.0,24857891.0,24850947.0,24138274.0,24209909.0,24729688.0,25242597.0,25927935.0,25402482.0,25862439.0,25712342.0,25093051.0,26506244.0,25362874.0,25348261.0,26104805.0,27562534.0,27156151.0,25236539.0,27308020.0,25330512.0,25432396.0,26832673.0,25654310.0,26277612.0,25779115.0,24146779.0,23888634.0,24374149.0,24005746.0
AT,p01.b,AUT,168546.0,167251.0,163301.0,177750.0,156477.0,212415.0,247583.0,247419.0,225055.0,191933.0,230740.0,204458.0,222420.0,260931.0,223850.0,292135.0,253847.0,282967.0,201287.0,284339.0,242754.0,292807.0,335676.0,355483.0,370113.0,335021.0,343578.0,369454.0,322789.0,332621.0,325702.0,313896.0,241097.0,297251.0,308222.0,293605.0,320262.0,317784.0,335400.0,310950.0,357208.0,339665.0,282155.0,407071.0,344132.0,330687.0,331407.0,400170.0,360780.0,359463.0,421994.0,302077.0,378386.0,427247.0,408708.0,466643.0,340360.0,0.0,0.0,0.0,0.0
AT,p01.c,AUT,333627.0,340797.0,318495.0,335506.0,284417.0,364821.0,392738.0,418342.0,511354.0,467534.0,535041.0,509471.0,587081.0,599936.0,565292.0,626323.0,640432.0,703049.0,635509.0,738422.0,676928.0,769397.0,743574.0,784590.0,809154.0,747718.0,714472.0,773253.0,744710.0,793372.0,749293.0,610415.0,651709.0,652711.0,644216.0,654257.0,735906.0,693399.0,685555.0,643236.0,674103.0,672894.0,620188.0,730665.0,698100.0,616976.0,684099.0,826021.0,740407.0,683440.0,798052.0,735167.0,616054.0,798103.0,636375.0,757605.0,695533.0,0.0,0.0,0.0,0.0
AT,p01.d,AUT,1765085.0,1521937.0,1790121.0,1895294.0,1301573.0,1577646.0,1673963.0,1834989.0,1629071.0,1668878.0,1440777.0,1356475.0,1442997.0,1329713.0,1361605.0,1330022.0,1168514.0,1332397.0,1326116.0,1353022.0,1139545.0,1624138.0,1286913.0,1216279.0,964682.0,1140353.0,1003872.0,1308126.0,1105051.0,1114045.0,1083749.0,1001159.0,1019540.0,1001611.0,1045433.0,1007805.0,1059682.0,1151449.0,1204240.0,1193279.0,1187708.0,1171878.0,1183812.0,1267736.0,1170364.0,1199589.0,1253177.0,1308710.0,1247979.0,825007.0,1075391.0,864869.0,883217.0,941855.0,868669.0,775094.0,864778.0,0.0,0.0,0.0,0.0
AT,p01.e,AUT,7331.0,7408.0,7990.0,9472.0,8164.0,10044.0,10821.0,9606.0,5686.0,5588.0,5029.0,4934.0,3767.0,3814.0,4001.0,3928.0,4350.0,5364.0,5143.0,7057.0,7528.0,6603.0,7208.0,8196.0,10566.0,13288.0,45943.0,72472.0,80427.0,84414.0,115582.0,136561.0,160123.0,192130.0,175953.0,94234.0,100273.0,112813.0,147238.0,102181.0,116560.0,113389.0,95772.0,119699.0,122640.0,143418.0,127693.0,149146.0,150513.0,160505.0,174058.0,144931.0,156938.0,175697.0,137248.0,174427.0,166112.0,0.0,0.0,0.0,0.0
AT,p01.f,AUT,58895.0,72852.0,98478.0,103789.0,68854.0,108746.0,94523.0,91198.0,94476.0,91721.0,74911.0,101179.0,104600.0,112417.0,147670.0,121705.0,127284.0,88790.0,101062.0,121891.0,141660.0,165384.0,95179.0,122726.0,113416.0,74006.0,100253.0,91099.0,124413.0,117513.0,118796.0,122744.0,141047.0,120632.0,135954.0,147520.0,141896.0,156134.0,151544.0,124069.0,130662.0,143378.0,117090.0,136712.0,145281.0,117453.0,125138.0,145641.0,145251.0,147537.0,162827.0,146725.0,163278.0,199951.0,134422.0,166511.0,141038.0,0.0,0.0,0.0,0.0
AT,p01.g,AUT,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,1254.0,1254.0,953.0,1856.0,1254.0,953.0,1254.0,1666.0,1575.0,1660.0,1065.0,1976.0,1745.0,1650.0,1671.0,0.0,0.0,0.0,0.0
AT,p01.h,AUT,2091.0,1673.0,2306.0,2599.0,1980.0,2157.0,1968.0,2155.0,2256.0,1964.0,2072.0,1458.0,2016.0,1874.0,1689.0,1875.0,2208.0,1570.0,1569.0,1874.0,1925.0,2074.0,2109.0,2187.0,2215.0,2226.0,2113.0,2368.0,2290.0,2310.0,2096.0,2112.0,2682.0,2451.0,2370.0,2228.0,2527.0,2563.0,2173.0,2254.0,2418.0,2296.0,2277.0,2110.0,2207.0,2288.0,2841.0,2029.0,2087.0,1955.0,2686.0,2727.0,2330.0,2907.0,1852.0,2809.0,2567.0,0.0,0.0,0.0,0.0
AT,p01.k,AUT,100008.0,106476.0,106850.0,112572.0,100879.0,98374.0,102424.0,105164.0,105402.0,106139.0,109039.0,110954.0,108933.0,104928.0,109127.0,109827.0,111614.0,119203.0,122440.0,117958.0,120841.0,114572.0,123152.0,123041.0,123511.0,126094.0,125060.0,121121.0,116374.0,119045.0,120947.0,120837.0,122387.0,125819.0,128196.0,122404.0,124549.0,123656.0,114523.0,107040.0,107131.0,109446.0,105892.0,108268.0,111043.0,112712.0,118124.0,119424.0,114327.0,117710.0,127720.0,132972.0,133459.0,136478.0,138462.0,151091.0,155147.0,0.0,0.0,0.0,0.0
AT,p01.n,AUT,2481262.0,2556963.0,2591542.0,2651250.0,2714565.0,2719182.0,2835770.0,2828848.0,2812018.0,2800405.0,2759952.0,2760104.0,2750058.0,2756925.0,2740482.0,2760874.0,2807273.0,2827962.0,2800023.0,2874634.0,2952222.0,3000124.0,3068324.0,3149486.0,3173076.0,3156896.0,3113570.0,2805654.0,2803204.0,2804010.0,2794130.0,2757971.0,2746036.0,2752284.0,2473528.0,2482392.0,2531924.0,2556552.0,2630380.0,2715414.0,2770691.0,2764437.0,2711330.0,2633033.0,2614565.0,2641566.0,2651394.0,2685523.0,2715893.0,2740189.0,2783205.0,2846575.0,2856366.0,2939866.0,2976314.0,3052274.0,3125964.0,1609947.0,1593247.0,1606452.0,1612723.0
