Item Group Code,Item Group,Item Code,Item,Factor,CPC Code,HS Code,HS07 Code,HS12 Code
1714,"Crops, primary",809,"Abaca, manila hemp, raw",1,1929.07,,530500,530500
1714,"Crops, primary",800,"Agave fibres, raw, n.e.c.",1,1929.06,,530500,530500
1714,"Crops, primary",221,"Almonds, in shell",1,1371,,80211,80211
1714,"Crops, primary",711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1,1654,,"090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962"
1714,"Crops, primary",515,Apples,1,1341,,80810,80810
1714,"Crops, primary",526,Apricots,1,1343,,80910,80910
1714,"Crops, primary",226,Areca nuts,1,1379.01,,80290,80280
1714,"Crops, primary",366,Artichokes,1,1216,,70990,70991
1714,"Crops, primary",367,Asparagus,1,1211,,70920,70920
1714,"Crops, primary",572,Avocados,1,1311,,80440,80440
1714,"Crops, primary",839,"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",1,3211,,400130,400130
1714,"Crops, primary",203,"Bambara beans, dry",1,1708,,71339,71334
1714,"Crops, primary",486,Bananas,1,1312,,80300,80390
1714,"Crops, primary",44,Barley,1,115,,100300,"100310, 100390"
1714,"Crops, primary",176,"Beans, dry",1,1701,,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339"
1714,"Crops, primary",552,Blueberries,1,1355.01,,81040,81040
1714,"Crops, primary",216,"Brazil nuts, in shell",1,1377,,80121,80121
1714,"Crops, primary",181,"Broad beans and horse beans, dry",1,1702,,71350,71350
1714,"Crops, primary",420,"Broad beans and horse beans, green",1,1243,,70890,70890
1714,"Crops, primary",89,Buckwheat,1,1192,,100810,100810
1714,"Crops, primary",358,Cabbages,1,1212,,"070420, 070490","070420, 070490"
1714,"Crops, primary",101,Canary seed,1,1195,,100830,100830
1714,"Crops, primary",568,Cantaloupes and other melons,1,1229,,80719,80719
1714,"Crops, primary",426,Carrots and turnips,1,1251,,70610,70610
1714,"Crops, primary",217,"Cashew nuts, in shell",1,1372,,80131,80131
1714,"Crops, primary",591,Cashewapple,1,1359.02,,81090,81090
1714,"Crops, primary",125,"Cassava, fresh",1,1520.01,,71410,71410
1714,"Crops, primary",265,Castor oil seeds,1,1447,,120799,120730
1714,"Crops, primary",393,Cauliflowers and broccoli,1,1213,,70410,70410
1714,"Crops, primary",108,Cereals n.e.c.,1,1199.9,,100890,100890
1714,"Crops, primary",531,Cherries,1,1344.02,,80920,80929
1714,"Crops, primary",220,"Chestnuts, in shell",1,1373,,80240,"080241, 080242"
1714,"Crops, primary",191,"Chick peas, dry",1,1703,,71320,71320
1714,"Crops, primary",459,Chicory roots,1,1691,,121299,121294
1714,"Crops, primary",689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1,1652,,90420,"090421, 090422"
1714,"Crops, primary",401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1,1231,,70960,70960
1714,"Crops, primary",693,"Cinnamon and cinnamon-tree flowers, raw",1,1655,,"090611, 090619, 090620","090611, 090619, 090620"
1714,"Crops, primary",698,"Cloves (whole stems), raw",1,1656,,90700,"090710, 090720"
1714,"Crops, primary",661,Cocoa beans,1,1640,,180100,180100
1714,"Crops, primary",249,"Coconuts, in shell",1,1460,,80119,"080112, 080119"
1714,"Crops, primary",656,"Coffee, green",1,1610,,90111,90111
1714,"Crops, primary",195,"Cow peas, dry",1,1706,,71339,71335
1714,"Crops, primary",554,Cranberries,1,1355.02,,81040,81040
1714,"Crops, primary",397,Cucumbers and gherkins,1,1232,,70700,70700
1714,"Crops, primary",550,Currants,1,1351.01,,81090,81030
1714,"Crops, primary",577,Dates,1,1314,,80410,80410
1714,"Crops, primary",149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1,1599.1,,71490,71490
1714,"Crops, primary",399,Eggplants (aubergines),1,1233,,70930,70930
1714,"Crops, primary",569,Figs,1,1315,,80420,80420
1714,"Crops, primary",771,"Flax, raw or retted",1,1929.01,,530110,530110
1714,"Crops, primary",94,Fonio,1,1193,,100890,100840
1714,"Crops, primary",720,"Ginger, raw",1,1657,,91010,"091011, 091012"
1714,"Crops, primary",549,Gooseberries,1,1351.02,,81090,81030
1714,"Crops, primary",560,Grapes,1,1330,,80610,80610
1714,"Crops, primary",446,Green corn (maize),1,1290.01,,70990,70999
1714,"Crops, primary",406,Green garlic,1,1252,,70320,70320
1714,"Crops, primary",242,"Groundnuts, excluding shelled",1,142,,"120210, 120220","120230, 120241"
1714,"Crops, primary",225,"Hazelnuts, in shell",1,1374,,80221,80221
1714,"Crops, primary",336,Hempseed,1,1449.02,,120799,120799
1714,"Crops, primary",677,Hop cones,1,1659,,"121010, 121020","121010, 121020"
1714,"Crops, primary",277,Jojoba seeds,1,1499.03,,120799,120799
1714,"Crops, primary",780,"Jute, raw or retted",1,1922.01,,"530310, 530390","530310, 530390"
1714,"Crops, primary",310,Kapok fruit,1,1499.05,,120799,120799
1714,"Crops, primary",263,Karite nuts (sheanuts),1,1499.01,,120799,120799
1714,"Crops, primary",782,"Kenaf, and other textile bast fibres, raw or retted",1,1922.02,,"530310, 530390","530310, 530390"
1714,"Crops, primary",592,Kiwi fruit,1,1352,,81050,81050
1714,"Crops, primary",224,Kola nuts,1,1379.02,,80290,80270
1714,"Crops, primary",407,Leeks and other alliaceous vegetables,1,1254,,70390,70390
1714,"Crops, primary",497,Lemons and limes,1,1322,,80550,80550
1714,"Crops, primary",201,"Lentils, dry",1,1704,,71340,71340
1714,"Crops, primary",372,Lettuce and chicory,1,1214,,"070511, 070519, 070521, 070529","070511, 070519, 070521, 070529"
1714,"Crops, primary",333,Linseed,1,1441,,120400,120400
1714,"Crops, primary",461,Locust beans (carobs),1,1356,,121299,121292
1714,"Crops, primary",210,Lupins,1,1709.02,,121490,121490
1714,"Crops, primary",56,Maize (corn),1,112,,"100510, 100590","100510, 100590"
1714,"Crops, primary",571,"Mangoes, guavas and mangosteens",1,1316,,80450,80450
1714,"Crops, primary",671,Maté leaves,1,1630,,90300,90300
1714,"Crops, primary",299,Melonseed,1,1449.01,,120799,120770
1714,"Crops, primary",79,Millet,1,118,,100820,"100821, 100829"
1714,"Crops, primary",103,Mixed grain,1,1199.02,,100890,100890
1714,"Crops, primary",449,Mushrooms and truffles,1,1270,,"070951, 070959","070951, 070959"
1714,"Crops, primary",292,Mustard seed,1,1442,,120750,120750
1714,"Crops, primary",836,Natural rubber in primary forms,1,1950.01,,400110,400110
1714,"Crops, primary",702,"Nutmeg, mace, cardamoms, raw",1,1653,,"090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832"
1714,"Crops, primary",75,Oats,1,117,,100400,"100410, 100490"
1714,"Crops, primary",254,Oil palm fruit,1,1491.01,,120799,120710
1714,"Crops, primary",430,Okra,1,1239.01,,70990,70999
1714,"Crops, primary",260,Olives,1,1450,,70990,70992
1714,"Crops, primary",403,"Onions and shallots, dry (excluding dehydrated)",1,1253.02,,70310,70310
1714,"Crops, primary",402,"Onions and shallots, green",1,1253.01,,70310,70310
1714,"Crops, primary",490,Oranges,1,1323,,80510,80510
1714,"Crops, primary",414,"Other beans, green",1,1241.9,,70820,70820
1714,"Crops, primary",558,Other berries and fruits of the genus vaccinium n.e.c.,1,1355.9,,"081020, 081040","081020, 081040"
1714,"Crops, primary",512,"Other citrus fruit, n.e.c.",1,1329,,80590,80590
1714,"Crops, primary",821,"Other fibre crops, raw, n.e.c.",1,1929.9,,530500,530500
1714,"Crops, primary",619,"Other fruits, n.e.c.",1,1359.9,,81090,81090
1714,"Crops, primary",234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1,1379.9,,"080260, 080290","080261, 080262, 080290"
1714,"Crops, primary",339,"Other oil seeds, n.e.c.",1,1449.9,,120799,120799
1714,"Crops, primary",542,Other pome fruits,1,1349.1,,81090,81090
1714,"Crops, primary",211,Other pulses n.e.c.,1,1709.9,,71390,71390
1714,"Crops, primary",723,"Other stimulant, spice and aromatic crops, n.e.c.",1,1699,,"091020, 091030, 091091, 091099","091020, 091030, 091091, 091099"
1714,"Crops, primary",541,Other stone fruits,1,1349.2,,81090,81090
1714,"Crops, primary",161,Other sugar crops n.e.c.,1,1809,,121299,121299
1714,"Crops, primary",603,"Other tropical fruits, n.e.c.",1,1319,,"080450, 081060, 081090","080450, 081060, 081090"
1714,"Crops, primary",463,"Other vegetables, fresh n.e.c.",1,1290.9,,"070690, 070940, 070990","070690, 070940, 070999"
1714,"Crops, primary",600,Papayas,1,1317,,80720,80720
1714,"Crops, primary",534,Peaches and nectarines,1,1345,,80930,80930
1714,"Crops, primary",521,Pears,1,1342.01,,80820,80830
1714,"Crops, primary",187,"Peas, dry",1,1705,,71310,71310
1714,"Crops, primary",417,"Peas, green",1,1242,,70810,70810
1714,"Crops, primary",687,"Pepper (Piper spp.), raw",1,1651,,"090411, 090412","090411, 090412"
1714,"Crops, primary",748,"Peppermint, spearmint",1,1930.01,,121190,121190
1714,"Crops, primary",587,Persimmons,1,1359.01,,81090,81070
1714,"Crops, primary",197,"Pigeon peas, dry",1,1707,,71390,71360
1714,"Crops, primary",574,Pineapples,1,1318,,80430,80430
1714,"Crops, primary",223,"Pistachios, in shell",1,1375,,80250,"080251, 080252"
1714,"Crops, primary",489,Plantains and cooking bananas,1,1313,,80300,80310
