FAO item name,FAO item code,EXIOBASE product code,EXIOBASE extension name,EXIOBASE product,,
Beef and Buffalo Meat,1806,p01.i,Cropland - Fodder crops-Cattle,Cattle,,#N/A
"Fat, buffaloes",949,p01.i,Cropland - Fodder crops-Cattle,Cattle,,#N/A
"Fat, cattle",869,p01.i,Cropland - Fodder crops-Cattle,Cattle,,#N/A
"Hides, buffalo, fresh",957,p01.i,Cropland - Fodder crops-Cattle,Cattle,,#N/A
"Hides, cattle, fresh",919,p01.i,Cropland - Fodder crops-Cattle,Cattle,,#N/A
"Meat, buffalo",947,p01.i,Cropland - Fodder crops-Cattle,Cattle,,"Meat of buffalo, fresh or chilled"
"Meat, cattle",867,p01.i,Cropland - Fodder crops-Cattle,Cattle,,"Meat of cattle with the bone, fresh or chilled"
"Offals, edible, buffaloes",948,p01.i,Cropland - Fodder crops-Cattle,Cattle,,#N/A
"Offals, edible, cattle",868,p01.i,Cropland - Fodder crops-Cattle,Cattle,,#N/A
"Fat, pigs",1037,p01.j,Cropland - Fodder crops-Pigs,Pigs,,#N/A
"Meat, pig",1035,p01.j,Cropland - Fodder crops-Pigs,Pigs,,"Meat of pig with the bone, fresh or chilled"
"Offals, pigs, edible",1036,p01.j,Cropland - Fodder crops-Pigs,Pigs,,#N/A
Eggs Primary,1783,p01.k,Cropland - Fodder crops-Poultry,Poultry,,#N/A
"Eggs, hen, in shell",1062,p01.k,Cropland - Fodder crops-Poultry,Poultry,,"Hen eggs in shell, fresh"
"Eggs, hen, in shell (number)",1067,p01.k,Cropland - Fodder crops-Poultry,Poultry,,#N/A
"Eggs, other bird, in shell",1091,p01.k,Cropland - Fodder crops-Poultry,Poultry,,"Eggs from other birds in shell, fresh, n.e.c."
"Eggs, other bird, in shell (number)",1092,p01.k,Cropland - Fodder crops-Poultry,Poultry,,#N/A
"Meat, bird nes",1089,p01.k,Cropland - Fodder crops-Poultry,Poultry,,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen"
"Meat, chicken",1058,p01.k,Cropland - Fodder crops-Poultry,Poultry,,"Meat of chickens, fresh or chilled"
"Meat, duck",1069,p01.k,Cropland - Fodder crops-Poultry,Poultry,,"Meat of ducks, fresh or chilled"
"Meat, goose and guinea fowl",1073,p01.k,Cropland - Fodder crops-Poultry,Poultry,,"Meat of geese, fresh or chilled"
"Meat, Poultry",1808,p01.k,Cropland - Fodder crops-Poultry,Poultry,,#N/A
"Meat, turkey",1080,p01.k,Cropland - Fodder crops-Poultry,Poultry,,"Meat of turkeys, fresh or chilled"
"Fat, camels",1129,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Fat, goats",1019,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Fat, sheep",979,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
Meat nes,1166,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Other meat of mammals, fresh or chilled"
"Meat, ass",1108,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of asses, fresh or chilled"
"Meat, camel",1127,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of camels, fresh or chilled"
"Meat, goat",1017,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of goat, fresh or chilled"
"Meat, horse",1097,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Horse meat, fresh or chilled"
"Meat, mule",1111,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of mules, fresh or chilled"
"Meat, other camelids",1158,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of other domestic camelids, fresh or chilled"
"Meat, other rodents",1151,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of other domestic rodents, fresh or chilled"
"Meat, rabbit",1141,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of rabbits and hares, fresh or chilled"
"Meat, sheep",977,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,"Meat of sheep, fresh or chilled"
"Offals, edible, camels",1128,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Offals, edible, goats",1018,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Offals, horses",1098,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Offals, sheep,edible",978,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
Sheep and Goat Meat,1807,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Skins, goat, fresh",1025,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Skins, sheep, fresh",995,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Snails, not sea",1176,p01.l,Cropland - Fodder crops-Meat animals nec,Meat animals nec,,#N/A
"Milk, Total",1780,p01.n,Cropland - Fodder crops-Raw milk,Raw milk,,"Milk, Total"
"Milk, whole fresh buffalo",951,p01.n,Cropland - Fodder crops-Raw milk,Raw milk,,Raw milk of buffalo
"Milk, whole fresh camel",1130,p01.n,Cropland - Fodder crops-Raw milk,Raw milk,,Raw milk of camel
"Milk, whole fresh cow",882,p01.n,Cropland - Fodder crops-Raw milk,Raw milk,,Raw milk of cattle
"Milk, whole fresh goat",1020,p01.n,Cropland - Fodder crops-Raw milk,Raw milk,,Raw milk of goats
"Milk, whole fresh sheep",982,p01.n,Cropland - Fodder crops-Raw milk,Raw milk,,Raw milk of sheep
Beeswax,1183,p01.m,,Animal products nec,,Beeswax
"Honey, natural",1182,p01.m,,Animal products nec,,Natural honey
"Meat, game",1163,p01.l,,Meat animals nec,,"Game meat, fresh, chilled or frozen"
"Silk-worm cocoons, reelable",1185,p01.o,,"Wool, silk-worm cocoons",,Silk-worm cocoons suitable for reeling
"Wool, greasy",987,p01.o,,"Wool, silk-worm cocoons",,"Shorn wool, greasy, including fleece-washed shorn wool"
"Meat of pig with the bone, fresh or chilled",1035,p01.j,Cropland - Fodder crops-Pigs,Pigs,,"Meat of pig with the bone, fresh or chilled"
"Meat of pig with the bone, fresh or chilled (indigenous)",1055,p01.j,Cropland - Fodder crops-Pigs,Pigs,,"Meat of pig with the bone, fresh or chilled (indigenous)"
"Game meat, fresh, chilled or frozen",1163,p01.l,,Meat animals nec,,"Game meat, fresh, chilled or frozen"
"Meat of camels, fresh or chilled",,,,,,
"Meat of camels, fresh or chilled (indigenous)",,,,,,
"Meat of cattle with the bone, fresh or chilled",,,,,,
"Meat of cattle with the bone, fresh or chilled (indigenous)",,,,,,
"Meat of chickens, fresh or chilled",,,,,,
"Meat of chickens, fresh or chilled (indigenous)",,,,,,
"Meat of goat, fresh or chilled",,,,,,
"Meat of goat, fresh or chilled (indigenous)",,,,,,
"Meat of sheep, fresh or chilled",,,,,,
"Meat of sheep, fresh or chilled (indigenous)",,,,,,
"Meat indigenous, total",,,,,,
"Meat of pig with the bone, fresh or chilled",,,,,,
"Meat of pig with the bone, fresh or chilled (indigenous)",,,,,,
"Meat of turkeys, fresh or chilled",,,,,,
"Meat of turkeys, fresh or chilled (indigenous)",,,,,,
"Other meat of mammals, fresh or chilled",,,,,,
"Horse meat, fresh or chilled",,,,,,
"Horse meat, fresh or chilled (indigenous)",,,,,,
"Meat of rabbits and hares, fresh or chilled",,,,,,
"Meat of rabbits and hares, fresh or chilled (indigenous)",,,,,,
"Meat of asses, fresh or chilled (indigenous)",,,,,,
"Meat of ducks, fresh or chilled",,,,,,
"Meat of ducks, fresh or chilled (indigenous)",,,,,,
"Meat of geese, fresh or chilled",,,,,,
"Meat of geese, fresh or chilled (indigenous)",,,,,,
"Meat of mules, fresh or chilled (indigenous)",,,,,,
"Meat of buffalo, fresh or chilled",,,,,,
"Meat of buffalo, fresh or chilled (indigenous)",,,,,,
"Meat of other domestic camelids, fresh or chilled (indigenous)",,,,,,
"Meat of other domestic rodents, fresh or chilled",,,,,,
"Meat of other domestic rodents, fresh or chilled (indigenous)",,,,,,
"Meat of asses, fresh or chilled",,,,,,
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",,,,,,
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen (indigenous)",,,,,,
"Meat of mules, fresh or chilled",,,,,,
"Meat of other domestic camelids, fresh or chilled",,,,,,
