FAO item name,FAO item code,Subcategory,Environmental extension,EXIOBASE product code,EXIOBASE product,CPA name,CPA Code(s),CPA 2002,Not in 'crops primary',Notes,EXIOBASE industry code,EXIOBASE industry name
"Rice, Paddy",27,Paddy rice,Paddy rice,p01.a,Paddy rice,"Rice, not husked",01.11.14,x,,,i01.a,Cultivation of paddy rice
Wheat,15,Wheat,Wheat,p01.b,Wheat,Durum wheat; Soft wheat and meslin,01.11.11; 01.11.12,x,,,i01.b,Cultivation of wheat
Barley,44,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Barley,01.11.15,x,,,i01.c,Cultivation of cereal grains nec
Maize,56,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Maize (corn),01.11.13,x,,,i01.c,Cultivation of cereal grains nec
Popcorn,68,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Rye,71,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,"Rye, oats",01.11.16,x,,,i01.c,Cultivation of cereal grains nec
Oats,75,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Millet,79,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Sorghum,83,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Buckwheat,89,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Quinoa,92,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Fonio,94,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Triticale,97,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Canary Seed,101,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
"Grain, mixed",103,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
"Cereals, nes",108,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec,Other cereals,01.11.17,,,,i01.c,Cultivation of cereal grains nec
Coconuts,249,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",01.13.21,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Carobs,461,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Dried leguminous vegetables, shelled",01.11.22,,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Bananas,486,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",01.13.21,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Plantains,489,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",01.13.21,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Oranges,490,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts",Citrus fruit,01.13.22,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
"Tangerines, mandarins, clementines, satsumas",495,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts",Citrus fruit,01.13.22,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Lemons and Limes,497,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts",Citrus fruit,01.13.22,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Grapefruit (inc. pomelos),507,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts",Citrus fruit,01.13.22,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
"Fruit, citrus nes",512,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts",Citrus fruit,01.13.22,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Apples,515,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Other fruit, locust beans",01.13.23,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Pears,521,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Other fruit, locust beans",01.13.23,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Quinces,523,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Other fruit, locust beans",01.13.23,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
Apricots,526,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Other fruit, locust beans",01.13.23,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
"Cherries, sour",530,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts","Other fruit, locust beans",01.13.23,x,,,i01.d,"Cultivation of vegetables, fruit, nuts"
