EXIO3,year,Country Area,Land Use,Pourcentage
AT,1961,82520.0,68318.960531,82.7907907549685
AU,1961,7682300.0,5879161.0,76.528656782474
BE,1961,29908.17,21536.719614,72.00948641792529
BG,1961,110630.0,91799.537832,82.97888261050348
BR,1961,8358140.0,7631677.0,91.30831740076141
CA,1961,8965590.0,4084603.0,45.55866373545969
CH,1961,39528.0,28387.609787,71.8164586799231
CN,1961,9424700.0,6483442.6925,68.79203255806551
CY,1961,9240.0,4905.159895,53.086146049783544
DE,1961,349130.0,294543.507241,84.36499505656919
DK,1961,40000.0,35896.289164,89.74072291
ES,1961,499780.0,473847.296328,94.81117618312058
FI,1961,304590.0,246067.593627,80.78649779277062
FR,1961,547566.0,474656.454453,86.6847931487711
GB,1961,241930.0,221503.621132,91.55690535774812
GR,1961,128900.0,126138.768125,97.85784959270752
HU,1961,90040.0,84820.538003,94.20317414815638
ID,1961,1811570.0,1453301.0,80.2232869831141
IE,1961,68890.0,51871.580713,75.29624141820292
IN,1961,2973190.0,2463526.0,82.85800772907214
IT,1961,294110.0,261455.20168,88.89707989527729
JP,1961,366700.0,303430.873125,82.74635209299154
KR,1961,96460.0,82664.981017,85.69871554737715
LU,1961,2574.46,2104.950066,81.76278000046611
MT,1961,320.0,181.960006,56.862501875
MX,1961,1943950.0,1705835.0,87.75097096118728
NL,1961,33760.0,25655.750473,75.99452154324645
NO,1961,365244.0,131538.640503,36.01390864819135
PL,1961,306290.0,295249.673276,96.39546615168632
PT,1961,91500.0,72992.577949,79.77330923387979
RO,1961,230340.0,209361.62123,90.89242911782583
SE,1961,407339.7,312757.262336,76.78045187738881
TR,1961,769630.0,591440.44125,76.84737357561426
TW,1961,35410.0,8840.000195,24.964699788195425
US,1961,9158960.0,7412885.0,80.93588136644335
WA,1961,7292138.74,5421751.0,74.35062871554744
WE,1961,130315.25,42141.67041,32.338249291621665
WF,1961,23963525.0,14181520.0,59.17960734073973
WL,1961,10213223.61,7521088.0,73.64068669402216
WM,1961,6459790.0,2102046.0,32.54046958182851
ZA,1961,1213090.0,1173681.0,96.75135398033122
AT,1962,82520.0,68256.960759,82.7156577302472
AU,1962,7682300.0,5892656.0,76.70432032073728
BE,1962,29918.79,21514.06941,71.90822025222276
BG,1962,110630.0,91838.840156,83.01440852933202
BR,1962,8358140.0,7631832.0,91.31017188034659
CA,1962,8965590.0,4085616.0,45.569962489919796
CH,1962,39528.0,28376.170007,71.78751772667476
CN,1962,9424700.0,6488805.1575,68.84893054951351
CY,1962,9240.0,4889.269913,52.91417654761905
DE,1962,349130.0,294612.842593,84.38485452209778
DK,1962,40000.0,35756.110096,89.39027524
ES,1962,499780.0,473855.491406,94.81281592020488
FI,1962,304590.0,246072.562311,80.7881290623461
FR,1962,547566.0,474179.472422,86.59768364398082
GB,1962,241930.0,221344.673945,91.49120569792915
GR,1962,128900.0,126058.770234,97.79578761365399
HU,1962,90020.0,84355.798845,93.70784141857365
ID,1962,1811570.0,1453347.0,80.22582621703826
IE,1962,68890.0,52293.611192,75.90885642618667
IN,1962,2973190.0,2470174.0,83.08160595185642
IT,1962,294110.0,261267.457354,88.8332451647343
JP,1962,366700.0,303437.172569,82.74806996700299
KR,1962,96460.0,82647.977977,85.68108851026332
LU,1962,2574.46,2105.989913,81.80317087855317
MT,1962,320.0,172.120004,53.787501250000005
MX,1962,1943950.0,1706749.0,87.79798863139484
NL,1962,33760.0,25578.929947,75.76697259182465
NO,1962,365244.0,131529.697539,36.01146015786707
PL,1962,306290.0,294649.675994,96.1995742577296
