ISO3,Item Code,Item,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AFG,983,Butter and ghee of sheep milk,t,4104.0,4124.25,4414.5,4725.0,4880.25,4421.25,4725.0,4725.0,4725.0,4387.5,3510.0,3240.0,3813.75,4252.5,4725.0,4860.0,4826.25,4819.5,4961.25,5082.75,5602.5,5487.75,5535.0,4725.0,3825.22,2812.72,2924.78,3375.0,3825.22,4782.38,4792.5,4556.25,4387.5,4494.64,4252.5,4725.0,5130.0,5467.5,5940.0,5062.5,4725.0,2970.0,3037.5,3442.5,3645.0,3105.0,4522.5,4410.0,4455.0,4500.0,4770.0,4747.5,4927.5,4557.01,4495.76,4508.7,4651.73,4679.01,3803.54,4604.94,4588.54
AFG,886,Butter of cow milk,t,7000.0,7000.0,8000.0,8000.0,9000.0,10000.0,11000.0,11660.0,11660.0,10000.0,9600.0,10300.0,11200.0,11600.0,11680.0,12000.0,10450.0,10650.0,10880.0,11120.0,11120.0,11120.0,12000.0,12000.0,10000.0,6000.0,7200.0,7200.0,7200.0,11200.0,12000.0,12800.0,15300.0,18900.0,22000.0,25200.0,27600.0,28600.0,33000.0,26402.88,16005.72,32022.26,29669.76,30367.74,29324.18,27973.46,29088.4,28291.64,28693.84,28500.58,28477.76,30321.16,30795.34,42723.93,37869.02,37987.38,36450.12,37098.96,36731.28,36357.0,36798.21
AFG,899,"Buttermilk, dry",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7002.2,6057.24,6440.46,5827.45,5931.4,5895.51,5829.46,5884.56
AFG,1021,"Cheese from milk of goats, fresh or processed",t,3150.0,3150.0,3600.0,3600.0,4050.0,4050.0,4500.0,4860.0,4860.0,4140.0,3330.0,3240.0,3960.0,3960.0,3960.0,4050.0,4140.0,4140.0,4320.0,4320.0,4410.0,4410.0,4950.0,4410.0,3780.0,3150.0,3600.0,3960.0,4410.0,4590.0,5040.0,5220.0,5670.0,6120.0,6300.0,7560.0,9000.0,10800.0,12150.0,9963.0,8730.0,11106.0,9090.0,10350.0,9450.0,9900.0,10170.0,10152.0,10170.0,10080.0,10800.0,10620.0,10134.0,9793.18,10419.16,10167.67,10311.55,10470.46,10632.05,10574.54,10651.12
AFG,984,"Cheese from milk of sheep, fresh or processed",t,10944.0,10998.0,11772.0,12600.0,13014.0,11790.0,12600.0,12600.0,12600.0,11700.0,9360.0,8640.0,10170.0,11340.0,12600.0,12960.0,12870.0,12852.0,13230.0,13554.0,14940.0,14634.0,14760.0,12600.0,10200.6,7500.6,7799.4,9000.0,10200.6,12753.0,12780.0,12150.0,11700.0,11985.71,11340.0,12600.0,13680.0,14580.0,15840.0,13500.0,12600.0,7920.0,8100.0,9180.0,9720.0,8280.0,12060.0,11760.0,11880.0,12000.0,12720.0,12660.0,13140.0,12152.03,11988.7,12023.2,12404.62,12477.37,10142.79,12279.84,12236.12
AFG,1186,Raw silk (not thrown),t,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,45.0,44.0,34.0,50.0,50.0,50.0,110.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,50.0,49.0,50.0,49.0,50.0,49.0,50.0
AFG,888,Skim milk of cows,t,131600.0,131600.0,150400.0,150400.0,169200.0,188000.0,206800.0,219208.0,219208.0,188000.0,180480.0,193640.0,210560.0,218080.0,219584.0,225600.0,196460.0,200220.0,204544.0,209056.0,209056.0,209056.0,225600.0,225600.0,188000.0,112800.0,135360.0,135360.0,135360.0,210560.0,225600.0,240640.0,287640.0,355320.0,413600.0,473760.0,518880.0,537680.0,620400.0,496374.16,300907.53,602018.5,557791.5,570913.5,551294.56,525901.06,546861.94,531882.8,539444.2,535810.9,535381.9,570037.8,578952.4,803209.89,711937.64,714162.71,685262.26,697460.45,690548.02,683511.53,691806.36
AFG,1811,Butter and Ghee,t,11104.0,11124.0,12415.0,12725.0,13880.0,14421.0,15725.0,16385.0,16385.0,14388.0,13110.0,13540.0,15014.0,15853.0,16405.0,16860.0,15276.0,15470.0,15841.0,16203.0,16723.0,16608.0,17535.0,16725.0,13825.0,8813.0,10125.0,10575.0,11025.0,15982.0,16793.0,17356.0,19688.0,23395.0,26253.0,29925.0,32730.0,34068.0,38940.0,31465.0,20731.0,34992.0,32707.0,33810.0,32969.0,31078.0,33611.0,32702.0,33149.0,33001.0,33248.0,35069.0,35723.0,47281.0,42365.0,42496.0,41102.0,41778.0,40535.0,40962.0,41387.0
AFG,1745,Cheese (All Kinds),t,14094.0,14148.0,15372.0,16200.0,17064.0,15840.0,17100.0,17460.0,17460.0,15840.0,12690.0,11880.0,14130.0,15300.0,16560.0,17010.0,17010.0,16992.0,17550.0,17874.0,19350.0,19044.0,19710.0,17010.0,13981.0,10651.0,11399.0,12960.0,14611.0,17343.0,17820.0,17370.0,17370.0,18106.0,17640.0,20160.0,22680.0,25380.0,27990.0,23463.0,21330.0,19026.0,17190.0,19530.0,19170.0,18180.0,22230.0,21912.0,22050.0,22080.0,23520.0,23280.0,23274.0,21945.0,22408.0,22191.0,22716.0,22948.0,20775.0,22854.0,22887.0
AFG,1809,"Skim Milk & Buttermilk, Dry",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7002.0,6057.0,6440.0,5827.0,5931.0,5896.0,5829.0,5885.0
