ISO3,Item Code,Item,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AFG,6600,Country area,1000 ha,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0
AFG,6601,Land area,1000 ha,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0,65223.0
AFG,6602,Agriculture,1000 ha,37750.0,37800.0,37850.0,37905.0,37910.0,37955.0,37979.0,37980.0,37996.0,38006.0,38036.0,38048.0,38049.2,38050.3,38050.3,38050.0,38050.0,38050.0,38049.0,38049.0,38053.0,38054.0,38054.0,38054.0,38054.0,38054.0,38045.0,38040.0,38040.0,38040.0,38030.0,38030.0,37934.0,37813.0,37763.0,37757.0,37795.0,37868.0,37764.0,37794.0,37795.0,37790.0,37884.0,37928.0,37917.0,37910.0,37914.0,37916.0,37916.0,37917.0,37915.0,37914.0,37910.0,37910.0,37910.0,37910.0,37910.0,38010.0,38010.0,38313.0,38313.0
AFG,6610,Agricultural land,1000 ha,37750.0,37800.0,37850.0,37905.0,37910.0,37955.0,37979.0,37980.0,37996.0,38006.0,38036.0,38048.0,38049.2,38050.3,38050.3,38050.0,38050.0,38050.0,38049.0,38049.0,38053.0,38054.0,38054.0,38054.0,38054.0,38054.0,38045.0,38040.0,38040.0,38040.0,38030.0,38030.0,37934.0,37813.0,37763.0,37757.0,37795.0,37868.0,37764.0,37794.0,37795.0,37790.0,37884.0,37928.0,37917.0,37910.0,37914.0,37916.0,37916.0,37917.0,37915.0,37914.0,37910.0,37910.0,37910.0,37910.0,37910.0,38010.0,38010.0,38313.0,38313.0
AFG,6620,Cropland,1000 ha,7750.0,7800.0,7850.0,7905.0,7910.0,7955.0,7979.0,7980.0,7996.0,8006.0,8036.0,8048.0,8049.2,8050.3,8050.3,8050.0,8050.0,8050.0,8049.0,8049.0,8053.0,8054.0,8054.0,8054.0,8054.0,8054.0,8045.0,8040.0,8040.0,8040.0,8030.0,8030.0,7934.0,7813.0,7763.0,7757.0,7795.0,7868.0,7764.0,7794.0,7795.0,7790.0,7884.0,7928.0,7917.0,7910.0,7914.0,7916.0,7916.0,7917.0,7915.0,7914.0,7910.0,7910.0,7910.0,7910.0,7910.0,8010.0,8010.0,8051.0,8051.0
AFG,6621,Arable land,1000 ha,7650.0,7700.0,7750.0,7800.0,7800.0,7835.0,7844.0,7844.0,7860.0,7870.0,7900.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7824.0,7703.0,7653.0,7647.0,7685.0,7757.0,7653.0,7683.0,7683.0,7678.0,7772.0,7816.0,7805.0,7794.0,7794.0,7794.0,7793.0,7793.0,7791.0,7790.0,7785.0,7771.0,7765.0,7729.0,7699.0,7794.0,7788.0,7829.0,7829.0
AFG,6630,Temporary crops,1000 ha,792.96,841.7,890.44,939.19,987.93,1036.67,1085.41,1134.15,1182.89,1231.63,1280.37,1329.11,1377.85,1426.59,1475.33,1524.07,1572.81,1621.56,1670.3,1719.04,1767.78,1816.52,1865.26,1914.0,1962.74,2011.48,2060.22,2108.96,2157.7,2206.44,2255.19,2303.93,2352.67,2401.41,2450.15,2498.89,2547.63,2596.37,2645.11,2693.85,2502.0,2111.0,3761.0,2934.0,3385.0,3529.0,3531.0,3224.0,3469.0,3481.0,3081.0,3454.0,3491.0,3485.0,3355.0,3419.0,2872.0,2300.0,3338.0,3834.0,3834.0
AFG,6633,Temporary meadows and pastures,1000 ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,6640,Temporary fallow,1000 ha,6838.29,6833.44,6828.02,6822.04,6772.08,6752.37,6710.04,6660.03,6623.58,6581.99,6556.95,6515.13,6465.09,6415.13,6365.24,6315.43,6265.69,6216.04,6166.45,6116.95,6067.52,6018.16,5968.88,5919.67,5870.54,5821.49,5772.51,5723.6,5674.77,5626.01,5577.33,5528.72,5420.6,5289.57,5208.42,5157.62,5136.38,5137.26,5021.85,4994.89,5181.0,5567.0,4011.0,4882.0,4420.0,4265.0,4263.0,4570.0,4324.0,4312.0,4710.0,4336.0,4294.0,4286.0,4410.0,4310.0,4827.0,5494.0,4450.0,3995.0,3995.0
AFG,6650,Permanent crops,1000 ha,100.0,100.0,100.0,105.0,110.0,120.0,135.0,136.0,136.0,136.0,136.0,138.0,139.2,140.3,140.3,140.0,140.0,140.0,139.0,139.0,143.0,144.0,144.0,144.0,144.0,144.0,135.0,130.0,130.0,130.0,120.0,120.0,110.0,110.0,110.0,110.0,110.0,111.0,111.0,111.0,112.0,112.0,112.0,112.0,112.0,116.0,120.0,122.0,123.0,124.0,124.0,124.0,125.0,139.0,145.0,181.0,211.0,216.0,222.0,222.0,222.0
