ISO3,Item Code,Item,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
AFG,6600,Country area,1000 ha,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286
AFG,6601,Land area,1000 ha,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223
AFG,6602,Agriculture,1000 ha,37700,37760,37810,37873,37875,37913,37979,37980,37996,38006,38036,38046,38048,38048,38048,38048,38050,38050,38049,38049,38053,38054,38054,38054,38054,38054,38045,38040,38040,38040,38030,38030,37934,37813,37753,37752,37790,37867,37753,37753,37753,37753,37910,37911,37910,37910,37910,37910,37910,37911,37910,37910,37910,37910,37910,37910,37910,38010
AFG,6610,Agricultural land,1000 ha,37700,37760,37810,37873,37875,37913,37979,37980,37996,38006,38036,38046,38048,38048,38048,38048,38050,38050,38049,38049,38053,38054,38054,38054,38054,38054,38045,38040,38040,38040,38030,38030,37934,37813,37753,37752,37790,37867,37753,37753,37753,37753,37910,37911,37910,37910,37910,37910,37910,37911,37910,37910,37910,37910,37910,37910,37910,38010
AFG,6620,Cropland,1000 ha,7700,7760,7810,7873,7875,7913,7979,7980,7996,8006,8036,8046,8048,8048,8048,8048,8050,8050,8049,8049,8053,8054,8054,8054,8054,8054,8045,8040,8040,8040,8030,8030,7934,7813,7753,7752,7790,7867,7753,7753,7753,7753,7910,7911,7910,7910,7910,7910,7910,7911,7910,7910,7910,7910,7910,7910,7910,8010
AFG,6621,Arable land,1000 ha,7650,7700,7750,7800,7800,7835,7844,7844,7860,7870,7900,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7824,7703,7653,7647,7685,7757,7653,7683,7683,7678,7772,7816,7805,7794,7794,7794,7793,7793,7791,7790,7785,7771,7765,7729,7699,7794
AFG,6630,Land under temporary crops,1000 ha,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.5,2581.49,2581.52,2581.48,2581.49,2581.6,2581.35,2581.52,2581.93,2580.6,2582.03,2583.16,2576.6,2586.33,2586.54,2556.93,2615.53,2587.15,2468.11,2791.33,2502,2111,3761,2934,3385,3529,3531,3224,3469,3481,3081,3454,3491,3485,3355,3419,2872,2300
AFG,6640,Land with temporary fallow,1000 ha,5083.99,5117.21,5150.44,5183.67,5183.67,5206.93,5212.91,5212.91,5223.55,5230.19,5250.13,5256.77,5256.77,5256.77,5256.77,5256.77,5256.77,5256.77,5256.78,5256.77,5256.78,5256.78,5256.75,5256.8,5256.79,5256.68,5256.93,5256.76,5256.34,5257.68,5256.25,5255.09,5204.5,5114.52,5080.98,5105.95,5074.18,5148.97,5196.98,4901.8,5181,5567,4011,4882,4420,4265,4263,4570,4324,4312,4710,4336,4294,4286,4410,4310,4827,5494
AFG,6650,Land under permanent crops,1000 ha,50,60,60,73,75,78,135,136,136,136,136,136,138,138,138,138,140,140,139,139,143,144,144,144,144,144,135,130,130,130,120,120,110,110,100,105,105,110,100,70,70,75,138,95,105,116,116,116,117,118,119,120,125,139,145,181,211,216
AFG,6655,Land under perm. meadows and pastures,1000 ha,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
AFG,6659,Perm. meadows & pastures - Nat. growing,1000 ha,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
AFG,6646,Forest land,1000 ha,1218.62,1215.32,1212.58,1209.13,1209.02,1206.95,1203.36,1203.31,1202.44,1201.9,1200.27,1199.73,1199.62,1199.62,1199.62,1199.62,1199.52,1199.52,1199.57,1199.57,1199.35,1199.3,1199.3,1199.3,1199.3,1199.3,1199.79,1200.06,1200.06,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
AFG,6717,Naturally regenerating forest,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
AFG,6716,Planted Forest,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,6670,Other land,1000 ha,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,26128.94,25974.56,25984.56,25984.56,26080.56,26201.56,26261.56,26262.56,26224.56,26147.56,26261.56,26261.56,26261.56,26261.56,26104.56,26103.56,26104.56,26104.56,26104.56,26104.56,26104.56,26103.56,26104.56,26104.56,26104.56,26104.56,26104.56,26104.56,26104.56,26004.56
AFG,6680,Inland waters,1000 ha,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
AFG,6690,Land area equipped for irrigation,1000 ha,2380,2380,2380,2380,2380,2380,2386,2386,2386,2386,2386,2386,2400,2415,2430,2445,2460,2475,2490,2505,2520,2535,2550,2581,2586,2719,2750,2850,2900,2900,3000,3180,3180,3180,3180,3180,3203,3203,3203,3203,3203,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208
AFG,6616,Land area actually irrigated,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836,1896,2044,2072,2092,2177,2165,2254.33,2309.17,2364
AFG,6611,Agriculture area actually irrigated,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,1745,2752,2086,2214,2307,2252,2191,1836,1896,2044,2072,2092,2177,2165,2457,2271,1947
AFG,6671,Agriculture area under organic agric.,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.4,0.27,0.79
AFG,6672,Agriculture area certified organic,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.06,0.08,0.39,0.25,0.79
AFG,6714,Primary Forest,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,6600,Country area,1000 ha,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875
ALB,6601,Land area,1000 ha,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
ALB,6602,Agriculture,1000 ha,1232,1232,1233,1230,1237,1240,1244,1240,1235,1230,1200,1174,1146,1122,1080,1075,1109,1114,1117,1118,1116,1114,1110,1113,1112,1111,1111,1117,1110,1121,1127,1127,1126,1126,1127,1131,1135,1139,1145,1144,1139,1140,1121,1122,1077,1120,1119,1181,1201.3,1201.3,1201,1201.3,1188.31,1175.38,1175.54,1183.1,1170.76,1176.08
ALB,6610,Agricultural land,1000 ha,1232,1232,1233,1230,1237,1240,1244,1240,1235,1230,1200,1174,1146,1122,1080,1075,1109,1114,1117,1118,1116,1114,1110,1113,1112,1111,1111,1117,1110,1121,1127,1127,1126,1126,1127,1131,1135,1139,1145,1144,1139,1140,1121,1122,1077,1120,1119,1181,1201.3,1201.3,1201,1201.3,1187.3,1174.29,1174.3,1181.7,1169.18,1174.08
ALB,6620,Cropland,1000 ha,479,487,495,501,522,540,556,570,585,599,610,624,636,652,662,685,692,697,697,702,706,709,710,713,713,713,714,714,707,704,703,703,702,702,702,702,700,699,699,699,699,699,699,699,659,705,698,697,696,696,696,696,696.3,696,696.1,703.5,691.1,696
ALB,6621,Arable land,1000 ha,432,436,440,443,460,475,488,500,510,521,530,540,548,557,563,575,580,583,583,585,588,589,589,589,589,589,590,590,582,579,578,578,577,577,577,577,578,577,577,578,578,578,578,578,538,584,578,610,609,626,622,619.1,617.1,615.6,615.1,620.3,606.9,611.35
ALB,6630,Land under temporary crops,1000 ha,144.35,145.68,147.02,148.02,153.7,158.71,163.06,167.07,170.41,174.08,177.09,180.43,183.1,186.11,188.12,192.13,193.8,194.8,194.8,195.47,196.47,196.8,196.8,196.8,196.8,196.8,197.14,197.14,194.46,193.46,193.13,193.13,192.79,192.79,192.79,192.79,193.13,192.79,192.79,193.13,193.13,193.13,193.13,193.13,179.76,195.13,193.13,206,202,202,205,200.9,198,204.7,205.8,209.7,210.5,217.9
ALB,6633,Land under temp. meadows and pastures,1000 ha,143.86,145.2,146.53,147.53,153.19,158.18,162.51,166.51,169.84,173.5,176.5,179.83,182.49,185.49,187.49,191.49,193.15,194.15,194.15,194.82,195.82,196.15,196.15,196.15,196.15,196.15,196.48,196.48,193.82,192.82,192.49,192.49,192.15,192.15,192.15,192.15,192.49,192.15,192.15,192.49,192.49,192.49,192.49,192.49,179.16,194.48,192.49,194,200,202,204,208.9,215.3,204.2,207.3,208.6,208.6,202.4
ALB,6640,Land with temporary fallow,1000 ha,143.79,145.12,146.45,147.45,153.11,158.1,162.43,166.42,169.75,173.41,176.41,179.74,182.4,185.4,187.39,191.39,193.05,194.05,194.05,194.72,195.71,196.05,196.05,196.05,196.05,196.05,196.38,196.38,193.72,192.72,192.39,192.39,192.05,192.05,192.05,192.05,192.39,192.05,192.05,192.39,192.39,192.39,192.39,192.39,179.07,116.74,192.39,210,207,222,213,209.3,203.8,206.7,202,202,187.8,191.05
ALB,6650,Land under permanent crops,1000 ha,47,51,55,58,62,65,68,70,75,78,80,84,88,95,99,110,112,114,114,117,118,120,121,124,124,124,124,124,125,125,125,125,125,125,125,125,122,122,122,121,121,121,121,121,121,121,120,87,87,70,74,76.9,79.2,80.4,81,83.2,84.2,84.65
ALB,6655,Land under perm. meadows and pastures,1000 ha,753,745,738,729,715,700,688,670,650,631,590,550,510,470,418,390,417,417,420,416,410,405,400,400,399,398,397,403,403,417,424,424,424,424,425,429,435,440,446,445,440,441,422,423,418,415,421,484,505.3,505.3,505,505.3,491,478.29,478.2,478.2,478.08,478.08
ALB,6649,Land under protective cover,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.08,1.24,1.4,1.58,2
ALB,6646,Forest land,1000 ha,729.95,729.95,729.36,731.13,727,725.23,722.88,725.23,728.18,731.13,749.15,765.13,782.74,798.16,825.89,829.25,806.64,803.37,801.41,800.76,802.06,803.37,805.98,804.02,804.68,805.33,805.33,801.41,805.98,788.8,786.85,784.9,782.95,781,779.05,777.1,775.15,773.2,771.25,769.3,770.58,771.85,773.13,774.41,775.68,776.96,778.24,779.52,780.79,782.07,783.49,784.92,786.34,787.76,789.19,789.18,788.9,788.9
ALB,6717,Naturally regenerating forest,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.68
ALB,6716,Planted Forest,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39,70.39
ALB,6670,Other land,1000 ha,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,809.91,830.2,826.15,828.1,831.05,833,833.95,831.9,829.85,827.8,823.75,826.7,830.42,828.15,845.87,843.59,887.32,843.04,842.76,779.48,757.91,756.63,755.51,753.78,765.35,776.86,775.27,767.72,780.34,775.02
ALB,6680,Inland waters,1000 ha,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,33.3,33.3,33,33
ALB,6773,Coastal waters,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,22.25,33.12,43.82,54.36,64.75,74.97,85.05,101.7,101.7,102,102
ALB,6690,Land area equipped for irrigation,1000 ha,156,168,180,192,205,217,227,245,260,284,290,300,309,320,331,340,350,357,366,371,378,382,388,393,399,404,409,417,423,423,395,368,341,340,340,340,340,340,340,340,343,346,353,354,362,365,356.5,348,339.5,331,332,332,337.6,353.7,353.4,353.5,354.4,355.5
ALB,6611,Agriculture area actually irrigated,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,118,202,204.5,204.3,204.7,205.26,149.8,158,169,171,176
ALB,6694,Cropland area actually irrigated,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,118,202,204.5,204.3,204.7,205.26,149.8,158,169,171,176
ALB,6671,Agriculture area under organic agric.,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1,0.08,0.3,0.5,4.2,5.8,2.21,2.17,2.47,1.57,0.66,0.55,0.75
ALB,6672,Agriculture area certified organic,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.8,2.21,2.17,2.47,1.97,1.47,0.97,0.47
ALB,6668,Cropland area under organic agric.,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1,0.08,0.3,0.5,4.2,5.8,2.21,2.17,2.47,1.57,0.66,0.55,0.75
ALB,6669,Cropland area certified organic,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.8,2.21,2.17,2.47,1.97,1.47,0.97,0.47
ALB,6714,Primary Forest,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8
DZA,6600,Country area,1000 ha,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174.1,238174.1,238174.1,238174.1
